-0,464638	-1,743795
-0,457652	-1,720087
-0,450657	-1,696360
-0,443656	-1,672619
-0,436649	-1,648870
-0,429639	-1,625117
-0,422627	-1,601367
-0,415614	-1,577623
-0,408602	-1,553891
-0,401592	-1,530176
-0,394585	-1,506482
-0,387584	-1,482813
-0,380588	-1,459175
-0,373601	-1,435572
-0,366622	-1,412008
-0,359653	-1,388488
-0,352696	-1,365015
-0,345751	-1,341595
-0,338821	-1,318232
-0,331906	-1,294928
-0,325009	-1,271689
-0,318129	-1,248516
-0,311269	-1,225415
-0,304431	-1,202388
-0,297615	-1,179438
-0,290825	-1,156568
-0,284060	-1,133782
-0,277322	-1,111083
-0,270614	-1,088472
-0,263936	-1,065954
-0,257290	-1,043531
-0,250677	-1,021205
-0,244099	-0,998979
-0,237557	-0,976857
-0,231052	-0,954839
-0,224585	-0,932929
-0,218159	-0,911129
-0,211773	-0,889441
-0,205430	-0,867866
-0,199130	-0,846409
-0,192874	-0,825069
-0,186664	-0,803851
-0,180501	-0,782754
-0,174385	-0,761782
-0,168317	-0,740936
-0,162299	-0,720218
-0,156330	-0,699630
-0,150413	-0,679174
-0,144546	-0,658851
-0,138732	-0,638664
-0,132970	-0,618614
-0,127262	-0,598702
-0,121607	-0,578930
-0,116007	-0,559300
-0,110461	-0,539813
-0,104970	-0,520470
-0,099535	-0,501272
-0,094156	-0,482220
-0,088833	-0,463315
-0,083567	-0,444559
-0,078358	-0,425951
-0,073206	-0,407492
-0,068111	-0,389184
-0,063073	-0,371026
-0,058094	-0,353020
-0,053172	-0,335164
-0,048308	-0,317461
-0,043501	-0,299910
-0,038753	-0,282511
-0,034064	-0,265265
-0,029432	-0,248172
-0,024859	-0,231232
-0,020343	-0,214446
-0,015886	-0,197813
-0,011487	-0,181333
-0,007145	-0,165008
-0,002860	-0,148835
0,001368	-0,132817
0,005539	-0,116952
0,009654	-0,101241
0,013713	-0,085683
0,017717	-0,070278
0,021665	-0,055027
0,025559	-0,039928
0,029398	-0,024982
0,033184	-0,010189
0,036915	0,004453
0,040594	0,018943
0,044219	0,033281
0,047792	0,047469
0,051312	0,061506
0,054781	0,075393
0,058199	0,089130
0,061565	0,102719
0,064881	0,116159
0,068147	0,129452
0,071363	0,142597
0,074530	0,155596
0,077649	0,168449
0,080719	0,181156
0,083742	0,193719
0,086718	0,206137
0,089648	0,218412
0,092532	0,230544
0,095371	0,242534
0,098165	0,254383
0,100914	0,266091
0,103619	0,277661
0,106281	0,289092
0,108900	0,300386
0,111476	0,311544
0,114009	0,322566
0,116501	0,333455
0,118950	0,344210
0,121359	0,354833
0,123728	0,365326
0,126056	0,375690
0,128345	0,385926
0,130595	0,396035
0,132806	0,406019
0,134980	0,415879
0,137117	0,425616
0,139217	0,435233
0,141282	0,444729
0,143312	0,454108
0,145307	0,463371
0,147269	0,472518
0,149197	0,481552
0,151092	0,490474
0,152955	0,499286
0,154787	0,507989
0,156587	0,516584
0,158357	0,525073
0,160096	0,533457
0,161806	0,541738
0,163487	0,549918
0,165139	0,557997
0,166764	0,565978
0,168361	0,573861
0,169932	0,581649
0,171477	0,589342
0,172996	0,596943
0,174490	0,604452
0,175960	0,611871
0,177406	0,619202
0,178828	0,626445
0,180227	0,633603
0,181604	0,640676
0,182958	0,647668
0,184290	0,654579
0,185601	0,661410
0,186890	0,668164
0,188159	0,674843
0,189407	0,681447
0,190635	0,687978
0,191844	0,694438
0,193032	0,700829
